Council area,Registration Year,Standardised birth rate,
East Dunbartonshire,2004,10.0,
East Lothian,2004,11.7,
East Renfrewshire,2004,12.3,
Falkirk,2004,11.5,
Fife,2004,10.9,
Glasgow City,2004,9.6,
Highland,2004,11.8,
Inverclyde,2004,11.5,
Midlothian,2004,11.8,
Moray,2004,10.6,
Na h-Eileanan Siar,2004,10.7,
North Ayrshire,2004,11.0,
North Lanarkshire,2004,11.8,
Orkney Islands,2004,10.4,
Perth and Kinross,2004,11.3,
Renfrewshire,2004,11.1,
Scotland,2004,10.6,
Scottish Borders,2004,11.8,
Shetland Islands,2004,11.6,
South Ayrshire,2004,10.8,
South Lanarkshire,2004,11.2,
Stirling,2004,10.9,
West Dunbartonshire,2004,10.9,
West Lothian,2004,11.8,
Aberdeen City,2005,8.7,
Aberdeenshire,2005,11.6,
Angus,2005,11.5,
Argyll and Bute,2005,11.1,
City of Edinburgh,2005,8.3,
Clackmannanshire,2005,11.2,
Dumfries and Galloway,2005,11.8,
Dundee City,2005,10.1,
East Ayrshire,2005,11.1,
East Dunbartonshire,2005,10.6,
East Lothian,2005,13.1,
East Renfrewshire,2005,11.9,
Falkirk,2005,11.3,
Fife,2005,11.1,
Glasgow City,2005,9.9,
Highland,2005,11.9,
Inverclyde,2005,11.6,
Midlothian,2005,11.6,
Moray,2005,10.8,
Na h-Eileanan Siar,2005,11.1,
North Ayrshire,2005,10.8,
North Lanarkshire,2005,11.3,
Orkney Islands,2005,10.9,
Perth and Kinross,2005,11.7,
Renfrewshire,2005,11.1,
Scotland,2005,10.6,
Scottish Borders,2005,11.6,
Shetland Islands,2005,11.2,
South Ayrshire,2005,10.3,
South Lanarkshire,2005,11.1,
Stirling,2005,10.2,
West Dunbartonshire,2005,10.9,
West Lothian,2005,12.1,
Aberdeen City,2006,9.1,
Aberdeenshire,2006,12.0,
Angus,2006,11.5,
Argyll and Bute,2006,11.4,
City of Edinburgh,2006,8.5,
Clackmannanshire,2006,11.4,
Dumfries and Galloway,2006,12.4,
Dundee City,2006,10.2,
East Ayrshire,2006,11.6,
East Dunbartonshire,2006,10.7,
East Lothian,2006,13.0,
East Renfrewshire,2006,11.5,
Falkirk,2006,11.4,
Fife,2006,11.6,
Glasgow City,2006,9.6,
Highland,2006,11.3,
Inverclyde,2006,11.0,
Midlothian,2006,12.0,
Moray,2006,11.1,
Na h-Eileanan Siar,2006,13.0,
North Ayrshire,2006,11.8,
North Lanarkshire,2006,11.7,
Orkney Islands,2006,12.8,
Perth and Kinross,2006,11.4,
Renfrewshire,2006,11.0,
Scotland,2006,10.8,
Scottish Borders,2006,12.4,
Shetland Islands,2006,13.5,
South Ayrshire,2006,10.7,
South Lanarkshire,2006,11.7,
Stirling,2006,10.6,
West Dunbartonshire,2006,11.4,
West Lothian,2006,12.4,
Aberdeen City,2007,9.7,
Aberdeenshire,2007,12.3,
Angus,2007,11.9,
Argyll and Bute,2007,10.9,
City of Edinburgh,2007,8.7,
Clackmannanshire,2007,13.0,
Dumfries and Galloway,2007,12.7,
Dundee City,2007,10.7,
East Ayrshire,2007,11.5,
East Dunbartonshire,2007,10.5,
East Lothian,2007,13.2,
East Renfrewshire,2007,12.1,
Falkirk,2007,12.3,
Fife,2007,11.8,
Glasgow City,2007,10.2,
Highland,2007,12.1,
Inverclyde,2007,11.2,
Midlothian,2007,12.6,
Moray,2007,12.3,
Na h-Eileanan Siar,2007,12.4,
North Ayrshire,2007,12.1,
North Lanarkshire,2007,11.8,
Orkney Islands,2007,11.4,
Perth and Kinross,2007,11.7,
Renfrewshire,2007,11.4,
Scotland,2007,11.2,
Scottish Borders,2007,13.1,
Shetland Islands,2007,12.2,
South Ayrshire,2007,10.9,
South Lanarkshire,2007,11.5,
Stirling,2007,10.2,
West Dunbartonshire,2007,12.1,
West Lothian,2007,12.9,
Aberdeen City,2008,10.2,
Aberdeenshire,2008,12.6,
Angus,2008,12.3,
Argyll and Bute,2008,12.1,
City of Edinburgh,2008,9.2,
Clackmannanshire,2008,13.2,
Dumfries and Galloway,2008,12.0,
Dundee City,2008,11.4,
East Ayrshire,2008,12.1,
East Dunbartonshire,2008,11.6,
East Lothian,2008,13.8,
East Renfrewshire,2008,11.9,
Falkirk,2008,12.6,
Fife,2008,12.6,
Glasgow City,2008,10.3,
