Council area,Registration Year,Standardised death rate,,,,
Aberdeenshire,2003,9.7,,,,
Angus,2003,10.6,,,,
Argyll and Bute,2003,10.6,,,,
City of Edinburgh,2003,10.4,,,,
Clackmannanshire,2003,11.1,,,,
Dumfries and Galloway,2003,10.7,,,,
Dundee City,2003,12.1,,,,
East Ayrshire,2003,12.8,,,,
East Dunbartonshire,2003,9.4,,,,
East Lothian,2003,10.9,,,,
East Renfrewshire,2003,10.3,,,,
Falkirk,2003,11.8,,,,
Fife,2003,10.9,,,,
Glasgow City,2003,14.3,,,,
Highland,2003,10.7,,,,
Inverclyde,2003,13,,,,
Midlothian,2003,10.9,,,,
Moray,2003,10.7,,,,
Na h-Eileanan Siar,2003,12.3,,,,
North Ayrshire,2003,11.7,,,,
North Lanarkshire,2003,13.1,,,,
Orkney Islands,2003,9.4,,,,
Perth and Kinross,2003,10.1,,,,
Renfrewshire,2003,12.8,,,,
Scotland,2003,11.5,,,,
Scottish Borders,2003,10.9,,,,
Shetland Islands,2003,10.8,,,,
South Ayrshire,2003,10.9,,,,
South Lanarkshire,2003,11.8,,,,
Stirling,2003,10.6,,,,
West Dunbartonshire,2003,13.3,,,,
West Lothian,2003,12.9,,,,
Aberdeen City,2004,10.6,,,,
Aberdeenshire,2004,9.6,,,,
Angus,2004,10.6,,,,
Argyll and Bute,2004,10.5,,,,
City of Edinburgh,2004,10,,,,
Clackmannanshire,2004,11.3,,,,
Dumfries and Galloway,2004,10.3,,,,
Dundee City,2004,11.4,,,,
East Ayrshire,2004,11.4,,,,
East Dunbartonshire,2004,9.1,,,,
East Lothian,2004,9.9,,,,
East Renfrewshire,2004,9.4,,,,
Falkirk,2004,11.5,,,,
Fife,2004,10.6,,,,
Glasgow City,2004,13.6,,,,
Highland,2004,10.4,,,,
Inverclyde,2004,12.6,,,,
Midlothian,2004,10.5,,,,
Moray,2004,10.1,,,,
Na h-Eileanan Siar,2004,10.5,,,,
North Ayrshire,2004,11.5,,,,
North Lanarkshire,2004,12.4,,,,
Orkney Islands,2004,9.8,,,,
Perth and Kinross,2004,9.9,,,,
Renfrewshire,2004,12.3,,,,
Scotland,2004,11.1,,,,
Scottish Borders,2004,9.9,,,,
Shetland Islands,2004,9.6,,,,
South Ayrshire,2004,10.4,,,,
South Lanarkshire,2004,11.7,,,,
Stirling,2004,10,,,,
West Dunbartonshire,2004,12.3,,,,
West Lothian,2004,11,,,,
Aberdeen City,2005,10.5,,,,
Aberdeenshire,2005,9,,,,
Angus,2005,10.6,,,,
Argyll and Bute,2005,10,,,,
City of Edinburgh,2005,10.2,,,,
Clackmannanshire,2005,11.9,,,,
Dumfries and Galloway,2005,10.2,,,,
Dundee City,2005,11.4,,,,
East Ayrshire,2005,12.3,,,,
East Dunbartonshire,2005,8.7,,,,
East Lothian,2005,10,,,,
East Renfrewshire,2005,8.8,,,,
Falkirk,2005,10.9,,,,
Fife,2005,10.4,,,,
Glasgow City,2005,13.5,,,,
Highland,2005,9.7,,,,
Inverclyde,2005,12.3,,,,
Midlothian,2005,10.8,,,,
Moray,2005,10.2,,,,
Na h-Eileanan Siar,2005,11.6,,,,
North Ayrshire,2005,11.3,,,,
North Lanarkshire,2005,12.3,,,,
Orkney Islands,2005,9.3,,,,
Perth and Kinross,2005,9.4,,,,
Renfrewshire,2005,12.1,,,,
Scotland,2005,10.9,,,,
Scottish Borders,2005,9.9,,,,
Shetland Islands,2005,7.6,,,,
South Ayrshire,2005,10.2,,,,
South Lanarkshire,2005,11.3,,,,
Stirling,2005,9.9,,,,
West Dunbartonshire,2005,12.8,,,,
West Lothian,2005,12.1,,,,
Aberdeen City,2006,10.3,,,,
Aberdeenshire,2006,9.5,,,,
Angus,2006,9.3,,,,
Argyll and Bute,2006,9.8,,,,
City of Edinburgh,2006,9.6,,,,
Clackmannanshire,2006,11.3,,,,
Dumfries and Galloway,2006,10.1,,,,
Dundee City,2006,10.3,,,,
East Ayrshire,2006,11.3,,,,
East Dunbartonshire,2006,9,,,,
East Lothian,2006,10,,,,
East Renfrewshire,2006,9,,,,
Falkirk,2006,11.6,,,,
Fife,2006,10.2,,,,
Glasgow City,2006,13.5,,,,
Highland,2006,10.1,,,,
Inverclyde,2006,11.5,,,,
Midlothian,2006,11,,,,
Moray,2006,10.4,,,,
Na h-Eileanan Siar,2006,10.2,,,,
North Ayrshire,2006,11.1,,,,
North Lanarkshire,2006,12.3,,,,
Orkney Islands,2006,10.2,,,,
Perth and Kinross,2006,9.8,,,,
Renfrewshire,2006,12,,,,
Scotland,2006,10.7,,,,
Scottish Borders,2006,9.8,,,,
Shetland Islands,2006,9.2,,,,
South Ayrshire,2006,10,,,,
South Lanarkshire,2006,11.2,,,,
Stirling,2006,9.8,,,,
West Dunbartonshire,2006,12.1,,,,
West Lothian,2006,10.9,,,,
Aberdeen City,2007,10.8,,,,
Aberdeenshire,2007,9.3,,,,
Angus,2007,10,,,,
Argyll and Bute,2007,10.3,,,,
City of Edinburgh,2007,9.8,,,,
Clackmannanshire,2007,10.2,,,,
Dumfries and Galloway,2007,10.2,,,,
Dundee City,2007,10.7,,,,
East Ayrshire,2007,11.7,,,,
East Dunbartonshire,2007,9,,,,
East Lothian,2007,10,,,,
East Renfrewshire,2007,9,,,,
Falkirk,2007,11.3,,,,
Fife,2007,10.2,,,,
Glasgow City,2007,13.6,,,,
Highland,2007,10.2,,,,
Inverclyde,2007,11.8,,,,
Midlothian,2007,10.3,,,,
Moray,2007,10.1,,,,
Na h-Eileanan Siar,2007,10.8,,,,
North Ayrshire,2007,11.6,,,,
North Lanarkshire,2007,12.7,,,,
Orkney Islands,2007,11.1,,,,
Perth and Kinross,2007,9.4,,,,
Renfrewshire,2007,11.3,,,,
Scotland,2007,10.8,,,,
Scottish Borders,2007,9.7,,,,
Shetland Islands,2007,9.4,,,,
South Ayrshire,2007,10,,,,
South Lanarkshire,2007,11.6,,,,
Stirling,2007,10,,,,
West Dunbartonshire,2007,12.5,,,,
West Lothian,2007,10.7,,,,
Aberdeen City,2008,10.6,,,,
Aberdeenshire,2008,9.5,,,,
Angus,2008,9.7,,,,
Argyll and Bute,2008,10.4,,,,
City of Edinburgh,2008,9.7,,,,
Clackmannanshire,2008,11.1,,,,
Dumfries and Galloway,2008,9.6,,,,
Dundee City,2008,11.3,,,,
East Ayrshire,2008,11.5,,,,
East Dunbartonshire,2008,8.7,,,,
East Lothian,2008,9.8,,,,
East Renfrewshire,2008,9.2,,,,
Falkirk,2008,11.2,,,,
Fife,2008,10.5,,,,
Glasgow City,2008,13.5,,,,
Highland,2008,9.6,,,,
Inverclyde,2008,11.5,,,,
Midlothian,2008,10.2,,,,
Moray,2008,9.6,,,,
Na h-Eileanan Siar,2008,10.1,,,,
North Ayrshire,2008,11.3,,,,
North Lanarkshire,2008,12.2,,,,
Orkney Islands,2008,9.7,,,,
Perth and Kinross,2008,9.1,,,,
Renfrewshire,2008,11.8,,,,
Scotland,2008,10.7,,,,
Scottish Borders,2008,9.4,,,,
Shetland Islands,2008,9.4,,,,
South Ayrshire,2008,9.9,,,,
South Lanarkshire,2008,11.3,,,,
Stirling,2008,9.1,,,,
West Dunbartonshire,2008,12.9,,,,
West Lothian,2008,11.2,,,,
Aberdeen City,2009,10.2,,,,
Aberdeenshire,2009,9,,,,
Angus,2009,8.9,,,,
Argyll and Bute,2009,9.6,,,,
City of Edinburgh,2009,9.5,,,,
Clackmannanshire,2009,10.8,,,,
Dumfries and Galloway,2009,9.6,,,,
Dundee City,2009,11,,,,
East Ayrshire,2009,11,,,,
East Dunbartonshire,2009,7.9,,,,
East Lothian,2009,9.8,,,,
East Renfrewshire,2009,8.6,,,,
Falkirk,2009,10.1,,,,
Fife,2009,10.4,,,,
Glasgow City,2009,12.9,,,,
Highland,2009,9.1,,,,
Inverclyde,2009,11.2,,,,
Midlothian,2009,10.2,,,,
Moray,2009,9.2,,,,
Na h-Eileanan Siar,2009,10.1,,,,
North Ayrshire,2009,11.1,,,,
North Lanarkshire,2009,11.6,,,,
Orkney Islands,2009,8.9,,,,
Perth and Kinross,2009,8.9,,,,
Renfrewshire,2009,11.4,,,,
Scotland,2009,10.3,,,,
Scottish Borders,2009,9.2,,,,
Shetland Islands,2009,8.7,,,,
South Ayrshire,2009,9.8,,,,
South Lanarkshire,2009,10.6,,,,
Stirling,2009,9.1,,,,
West Dunbartonshire,2009,11.9,,,,
West Lothian,2009,10.7,,,,
Aberdeen City,2010,10,,,,
Aberdeenshire,2010,9.2,,,,
Angus,2010,9.6,,,,
Argyll and Bute,2010,9.9,,,,
City of Edinburgh,2010,9.5,,,,
Clackmannanshire,2010,10,,,,
Dumfries and Galloway,2010,9.9,,,,
Dundee City,2010,11.1,,,,
East Ayrshire,2010,10.4,,,,
East Dunbartonshire,2010,8.3,,,,
East Lothian,2010,9.4,,,,
East Renfrewshire,2010,8.6,,,,
Falkirk,2010,10.2,,,,
Fife,2010,9.8,,,,
Glasgow City,2010,12.5,,,,
Highland,2010,9.7,,,,
Inverclyde,2010,12.1,,,,
Midlothian,2010,10.1,,,,
Moray,2010,9.4,,,,
Na h-Eileanan Siar,2010,10.2,,,,
North Ayrshire,2010,10.2,,,,
North Lanarkshire,2010,12.1,,,,
Orkney Islands,2010,8.9,,,,
Perth and Kinross,2010,8.3,,,,
Renfrewshire,2010,11.2,,,,
Scotland,2010,10.3,,,,
Scottish Borders,2010,9.2,,,,
Shetland Islands,2010,10.6,,,,
South Ayrshire,2010,10.2,,,,
South Lanarkshire,2010,10.5,,,,
Stirling,2010,9.4,,,,
West Dunbartonshire,2010,11.8,,,,
West Lothian,2010,10.7,,,,
Aberdeen City,2011,9.8,,,,
Aberdeenshire,2011,8.9,,,,
Angus,2011,8.9,,,,
Argyll and Bute,2011,9.4,,,,
City of Edinburgh,2011,9.6,,,,
Clackmannanshire,2011,10.2,,,,
Dumfries and Galloway,2011,9,,,,
Dundee City,2011,11,,,,
East Ayrshire,2011,10.7,,,,
East Dunbartonshire,2011,8,,,,
East Lothian,2011,9.1,,,,
East Renfrewshire,2011,8.3,,,,
Falkirk,2011,10.4,,,,
Fife,2011,9.9,,,,
Glasgow City,2011,12.6,,,,
Highland,2011,9.7,,,,
Inverclyde,2011,11.7,,,,
Midlothian,2011,9.7,,,,
Moray,2011,9.8,,,,
Na h-Eileanan Siar,2011,10.3,,,,
North Ayrshire,2011,10.4,,,,
North Lanarkshire,2011,11.8,,,,
Orkney Islands,2011,8.6,,,,
Perth and Kinross,2011,8.5,,,,
Renfrewshire,2011,10.6,,,,
Scotland,2011,10.1,,,,
Scottish Borders,2011,8.8,,,,
Shetland Islands,2011,10.2,,,,
South Ayrshire,2011,10,,,,
South Lanarkshire,2011,10.4,,,,
Stirling,2011,8.6,,,,
West Dunbartonshire,2011,11.8,,,,
West Lothian,2011,10.4,,,,
Aberdeen City,2012,10.3,,,,
Aberdeenshire,2012,9,,,,
Angus,2012,9.5,,,,
Argyll and Bute,2012,9.9,,,,
City of Edinburgh,2012,9.6,,,,
Clackmannanshire,2012,10.7,,,,
Dumfries and Galloway,2012,9.6,,,,
Dundee City,2012,11.3,,,,
East Ayrshire,2012,10.6,,,,
East Dunbartonshire,2012,8,,,,
East Lothian,2012,9.6,,,,
East Renfrewshire,2012,8.6,,,,
Falkirk,2012,10.6,,,,
Fife,2012,10.1,,,,
Glasgow City,2012,13,,,,
Highland,2012,8.8,,,,
Inverclyde,2012,11,,,,
Midlothian,2012,10.1,,,,
Moray,2012,9.9,,,,
Na h-Eileanan Siar,2012,11.1,,,,
North Ayrshire,2012,10.4,,,,
North Lanarkshire,2012,11.7,,,,
Orkney Islands,2012,8.8,,,,
Perth and Kinross,2012,9.1,,,,
Renfrewshire,2012,11.2,,,,
Scotland,2012,10.3,,,,
Scottish Borders,2012,9.2,,,,
Shetland Islands,2012,9,,,,
South Ayrshire,2012,9.7,,,,
South Lanarkshire,2012,11.1,,,,
Stirling,2012,9.6,,,,
West Dunbartonshire,2012,12.6,,,,
West Lothian,2012,10.6,,,,
Aberdeen City,2013,10.1,,,,
Aberdeenshire,2013,9.2,,,,
Angus,2013,9.5,,,,
Argyll and Bute,2013,9.1,,,,
City of Edinburgh,2013,9.6,,,,
Clackmannanshire,2013,11.6,,,,
Dumfries and Galloway,2013,9.9,,,,
Dundee City,2013,10.4,,,,
East Ayrshire,2013,11.6,,,,
East Dunbartonshire,2013,8.1,,,,
East Lothian,2013,9.5,,,,
East Renfrewshire,2013,8.8,,,,
Falkirk,2013,10.5,,,,
Fife,2013,10.1,,,,
Glasgow City,2013,12.7,,,,
Highland,2013,9.2,,,,
Inverclyde,2013,11.1,,,,
Midlothian,2013,10,,,,
Moray,2013,9.2,,,,
Na h-Eileanan Siar,2013,9.6,,,,
North Ayrshire,2013,10.7,,,,
North Lanarkshire,2013,11.9,,,,
Orkney Islands,2013,9.8,,,,
Perth and Kinross,2013,8.9,,,,
Renfrewshire,2013,10.9,,,,
