Council area,Year,Sex,Age group,Type,Life expectancy
Angus,2001-03,Male,20 to 24,Lower_CI,55.5542238
Angus,2001-03,Male,20 to 24,Upper_CI,56.74881646
Angus,2001-03,Male,25 to 29,Estimate,51.50978318
Angus,2001-03,Male,25 to 29,Lower_CI,50.94727203
Angus,2001-03,Male,25 to 29,Upper_CI,52.07229433
Angus,2001-03,Male,30 to 34,Estimate,46.74952775
Angus,2001-03,Male,30 to 34,Lower_CI,46.20935521
Angus,2001-03,Male,30 to 34,Upper_CI,47.28970028
Angus,2001-03,Male,35 to 39,Estimate,42.14547699
Angus,2001-03,Male,35 to 39,Lower_CI,41.63237587
Angus,2001-03,Male,35 to 39,Upper_CI,42.65857811
Angus,2001-03,Male,40 to 44,Estimate,37.52077841
Angus,2001-03,Male,40 to 44,Lower_CI,37.02736898
Angus,2001-03,Male,40 to 44,Upper_CI,38.01418784
Angus,2001-03,Male,45 to 49,Estimate,32.83008419
Angus,2001-03,Male,45 to 49,Lower_CI,32.35037968
Angus,2001-03,Male,45 to 49,Upper_CI,33.3097887
Angus,2001-03,Male,50 to 54,Estimate,28.22791875
Angus,2001-03,Male,50 to 54,Lower_CI,27.76429
Angus,2001-03,Male,50 to 54,Upper_CI,28.69154751
Angus,2001-03,Male,55 to 59,Estimate,23.70121436
Angus,2001-03,Male,55 to 59,Lower_CI,23.25064232
Angus,2001-03,Male,55 to 59,Upper_CI,24.15178639
Angus,2001-03,Male,60 to 64,Estimate,19.6479613
Angus,2001-03,Male,60 to 64,Lower_CI,19.21891402
Angus,2001-03,Male,60 to 64,Upper_CI,20.07700858
Angus,2001-03,Male,65 to 69,Estimate,15.86694023
Angus,2001-03,Male,65 to 69,Lower_CI,15.46510035
Angus,2001-03,Male,65 to 69,Upper_CI,16.2687801
Angus,2001-03,Male,70 to 74,Estimate,12.47594793
Angus,2001-03,Male,70 to 74,Lower_CI,12.09851133
Angus,2001-03,Male,70 to 74,Upper_CI,12.85338454
Angus,2001-03,Male,75 to 79,Estimate,9.542163687
Angus,2001-03,Male,75 to 79,Lower_CI,9.181266279
Angus,2001-03,Male,75 to 79,Upper_CI,9.903061096
Angus,2001-03,Male,80 to 84,Estimate,7.03889972
Angus,2001-03,Male,80 to 84,Lower_CI,6.681287114
Angus,2001-03,Male,80 to 84,Upper_CI,7.396512326
Angus,2001-03,Male,85 to 89,Estimate,5.148554337
Angus,2001-03,Male,85 to 89,Lower_CI,4.745428078
Angus,2001-03,Male,85 to 89,Upper_CI,5.551680596
Angus,2001-03,Male,90 and over,Estimate,3.882352941
Angus,2001-03,Male,90 and over,Lower_CI,3.2987377
Angus,2001-03,Male,90 and over,Upper_CI,4.465968182
Angus,2001-03,Female,0,Estimate,80.0268039
Angus,2001-03,Female,0,Lower_CI,79.45493273
Angus,2001-03,Female,0,Upper_CI,80.59867507
Angus,2001-03,Female,1 to 4,Estimate,79.12941887
Angus,2001-03,Female,1 to 4,Lower_CI,78.57477913
Angus,2001-03,Female,1 to 4,Upper_CI,79.68405861
Angus,2001-03,Female,5 to 9,Estimate,75.1759665
Angus,2001-03,Female,5 to 9,Lower_CI,74.628547
Angus,2001-03,Female,5 to 9,Upper_CI,75.723386
Angus,2001-03,Female,10 to 14,Estimate,70.32756426
Angus,2001-03,Female,10 to 14,Lower_CI,69.79954744
Angus,2001-03,Female,10 to 14,Upper_CI,70.85558107
Angus,2001-03,Female,15 to 19,Estimate,65.42983229
Angus,2001-03,Female,15 to 19,Lower_CI,64.91385733
Angus,2001-03,Female,15 to 19,Upper_CI,65.94580724
Angus,2001-03,Female,20 to 24,Estimate,60.53061139
Angus,2001-03,Female,20 to 24,Lower_CI,60.02657064
Angus,2001-03,Female,20 to 24,Upper_CI,61.03465214
Angus,2001-03,Female,25 to 29,Estimate,55.56937858
Angus,2001-03,Female,25 to 29,Lower_CI,55.07076124
Angus,2001-03,Female,25 to 29,Upper_CI,56.06799593
Angus,2001-03,Female,30 to 34,Estimate,50.69911671
Angus,2001-03,Female,30 to 34,Lower_CI,50.2157624
Angus,2001-03,Female,30 to 34,Upper_CI,51.18247101
Angus,2001-03,Female,35 to 39,Estimate,45.7645661
Angus,2001-03,Female,35 to 39,Lower_CI,45.28626334
Angus,2001-03,Female,35 to 39,Upper_CI,46.24286887
Angus,2001-03,Female,40 to 44,Estimate,40.91907628
Angus,2001-03,Female,40 to 44,Lower_CI,40.44983874
Angus,2001-03,Female,40 to 44,Upper_CI,41.38831381
Angus,2001-03,Female,45 to 49,Estimate,36.19607034
Angus,2001-03,Female,45 to 49,Lower_CI,35.74123274
Angus,2001-03,Female,45 to 49,Upper_CI,36.65090794
Angus,2001-03,Female,50 to 54,Estimate,31.53454683
Angus,2001-03,Female,50 to 54,Lower_CI,31.09668099
Angus,2001-03,Female,50 to 54,Upper_CI,31.97241267
Angus,2001-03,Female,55 to 59,Estimate,27.04737719
Angus,2001-03,Female,55 to 59,Lower_CI,26.62946775
Angus,2001-03,Female,55 to 59,Upper_CI,27.46528662
Angus,2001-03,Female,60 to 64,Estimate,22.68830088
Angus,2001-03,Female,60 to 64,Lower_CI,22.29277317
Angus,2001-03,Female,60 to 64,Upper_CI,23.08382858
Angus,2001-03,Female,65 to 69,Estimate,18.38872231
Angus,2001-03,Female,65 to 69,Lower_CI,18.01793231
Angus,2001-03,Female,65 to 69,Upper_CI,18.75951231
Angus,2001-03,Female,70 to 74,Estimate,14.62154732
Angus,2001-03,Female,70 to 74,Lower_CI,14.28584636
Angus,2001-03,Female,70 to 74,Upper_CI,14.95724827
Angus,2001-03,Female,75 to 79,Estimate,10.93368544
Angus,2001-03,Female,75 to 79,Lower_CI,10.62457726
Angus,2001-03,Female,75 to 79,Upper_CI,11.24279362
Angus,2001-03,Female,80 to 84,Estimate,8.069716489
Angus,2001-03,Female,80 to 84,Lower_CI,7.783243299
Angus,2001-03,Female,80 to 84,Upper_CI,8.356189678
