Council area,Registration Year,Sex,Number of civil partnerships
Stirling,2010,Male,0
West Dunbartonshire,2010,Male,1
West Lothian,2010,Male,1
Aberdeen City,2011,All,13
Aberdeenshire,2011,All,9
Angus,2011,All,3
Argyll and Bute,2011,All,23
City of Edinburgh,2011,All,124
Clackmannanshire,2011,All,3
Dumfries and Galloway,2011,All,73
Dundee City,2011,All,12
East Ayrshire,2011,All,3
East Dunbartonshire,2011,All,3
East Lothian,2011,All,9
East Renfrewshire,2011,All,3
Falkirk,2011,All,7
Fife,2011,All,35
Glasgow City,2011,All,96
Highland,2011,All,16
Inverclyde,2011,All,4
Midlothian,2011,All,1
Moray,2011,All,7
Na h-Eileanan Siar,2011,All,0
North Ayrshire,2011,All,12
North Lanarkshire,2011,All,11
Orkney Islands,2011,All,1
Perth and Kinross,2011,All,17
Renfrewshire,2011,All,4
Scotland,2011,All,554
Scottish Borders,2011,All,10
Shetland Islands,2011,All,3
South Ayrshire,2011,All,9
South Lanarkshire,2011,All,14
Stirling,2011,All,10
West Dunbartonshire,2011,All,10
West Lothian,2011,All,9
Aberdeen City,2011,Female,6
Aberdeenshire,2011,Female,5
Angus,2011,Female,2
Argyll and Bute,2011,Female,18
City of Edinburgh,2011,Female,54
Clackmannanshire,2011,Female,2
Dumfries and Galloway,2011,Female,59
Dundee City,2011,Female,9
East Ayrshire,2011,Female,3
East Dunbartonshire,2011,Female,1
East Lothian,2011,Female,5
East Renfrewshire,2011,Female,2
Falkirk,2011,Female,2
Fife,2011,Female,21
Glasgow City,2011,Female,54
Highland,2011,Female,10
Inverclyde,2011,Female,4
Midlothian,2011,Female,1
Moray,2011,Female,4
Na h-Eileanan Siar,2011,Female,0
North Ayrshire,2011,Female,6
North Lanarkshire,2011,Female,8
Orkney Islands,2011,Female,1
Perth and Kinross,2011,Female,8
Renfrewshire,2011,Female,2
Scotland,2011,Female,325
Scottish Borders,2011,Female,4
Shetland Islands,2011,Female,3
South Ayrshire,2011,Female,5
South Lanarkshire,2011,Female,6
Stirling,2011,Female,8
West Dunbartonshire,2011,Female,8
West Lothian,2011,Female,4
Aberdeen City,2011,Male,7
Aberdeenshire,2011,Male,4
Angus,2011,Male,1
Argyll and Bute,2011,Male,5
City of Edinburgh,2011,Male,70
Clackmannanshire,2011,Male,1
Dumfries and Galloway,2011,Male,14
Dundee City,2011,Male,3
East Ayrshire,2011,Male,0
East Dunbartonshire,2011,Male,2
East Lothian,2011,Male,4
East Renfrewshire,2011,Male,1
Falkirk,2011,Male,5
Fife,2011,Male,14
Glasgow City,2011,Male,42
Highland,2011,Male,6
Inverclyde,2011,Male,0
Midlothian,2011,Male,0
Moray,2011,Male,3
Na h-Eileanan Siar,2011,Male,0
North Ayrshire,2011,Male,6
North Lanarkshire,2011,Male,3
Orkney Islands,2011,Male,0
Perth and Kinross,2011,Male,9
Renfrewshire,2011,Male,2
Scotland,2011,Male,229
Scottish Borders,2011,Male,6
Shetland Islands,2011,Male,0
South Ayrshire,2011,Male,4
South Lanarkshire,2011,Male,8
Stirling,2011,Male,2
West Dunbartonshire,2011,Male,2
West Lothian,2011,Male,5
Aberdeen City,2012,All,19
Aberdeenshire,2012,All,9
Angus,2012,All,5
Argyll and Bute,2012,All,11
City of Edinburgh,2012,All,139
Clackmannanshire,2012,All,3
Dumfries and Galloway,2012,All,73
Dundee City,2012,All,18
East Ayrshire,2012,All,5
East Dunbartonshire,2012,All,3
East Lothian,2012,All,7
East Renfrewshire,2012,All,4
Falkirk,2012,All,7
Fife,2012,All,29
Glasgow City,2012,All,102
Highland,2012,All,19
Inverclyde,2012,All,2
Midlothian,2012,All,4
Moray,2012,All,2
Na h-Eileanan Siar,2012,All,0
North Ayrshire,2012,All,9
North Lanarkshire,2012,All,11
Orkney Islands,2012,All,1
Perth and Kinross,2012,All,13
Renfrewshire,2012,All,7
Scotland,2012,All,574
Scottish Borders,2012,All,13
Shetland Islands,2012,All,1
South Ayrshire,2012,All,14
South Lanarkshire,2012,All,16
Stirling,2012,All,12
West Dunbartonshire,2012,All,4
West Lothian,2012,All,12
Aberdeen City,2012,Female,7
