Council area,Year,Sex,Type,Number
Argyll and Bute,2003-04,Persons,Net,930
Argyll and Bute,2003-04,Persons,Out,3970
Argyll and Bute,2004-05,Female,In,2440
Argyll and Bute,2004-05,Female,Net,170
Argyll and Bute,2004-05,Female,Out,2270
Argyll and Bute,2004-05,Male,In,2320
Argyll and Bute,2004-05,Male,Net,270
Argyll and Bute,2004-05,Male,Out,2040
Argyll and Bute,2004-05,Persons,In,4760
Argyll and Bute,2004-05,Persons,Net,440
Argyll and Bute,2004-05,Persons,Out,4320
Argyll and Bute,2005-06,Female,In,2270
Argyll and Bute,2005-06,Female,Net,-20
Argyll and Bute,2005-06,Female,Out,2290
Argyll and Bute,2005-06,Male,In,2170
Argyll and Bute,2005-06,Male,Net,220
Argyll and Bute,2005-06,Male,Out,1950
Argyll and Bute,2005-06,Persons,In,4440
Argyll and Bute,2005-06,Persons,Net,200
Argyll and Bute,2005-06,Persons,Out,4240
Argyll and Bute,2006-07,Female,In,2290
Argyll and Bute,2006-07,Female,Net,270
Argyll and Bute,2006-07,Female,Out,2020
Argyll and Bute,2006-07,Male,In,2020
Argyll and Bute,2006-07,Male,Net,110
Argyll and Bute,2006-07,Male,Out,1910
Argyll and Bute,2006-07,Persons,In,4310
Argyll and Bute,2006-07,Persons,Net,380
Argyll and Bute,2006-07,Persons,Out,3930
Argyll and Bute,2007-08,Female,In,2100
Argyll and Bute,2007-08,Female,Net,-140
Argyll and Bute,2007-08,Female,Out,2230
Argyll and Bute,2007-08,Male,In,1980
Argyll and Bute,2007-08,Male,Net,100
Argyll and Bute,2007-08,Male,Out,1890
Argyll and Bute,2007-08,Persons,In,4080
Argyll and Bute,2007-08,Persons,Net,-40
Argyll and Bute,2007-08,Persons,Out,4120
Argyll and Bute,2008-09,Female,In,1990
Argyll and Bute,2008-09,Female,Net,-90
Argyll and Bute,2008-09,Female,Out,2080
Argyll and Bute,2008-09,Male,In,1870
Argyll and Bute,2008-09,Male,Net,70
Argyll and Bute,2008-09,Male,Out,1800
Argyll and Bute,2008-09,Persons,In,3860
Argyll and Bute,2008-09,Persons,Net,-30
Argyll and Bute,2008-09,Persons,Out,3890
Argyll and Bute,2009-10,Female,In,2050
Argyll and Bute,2009-10,Female,Net,100
Argyll and Bute,2009-10,Female,Out,1950
Argyll and Bute,2009-10,Male,In,1900
Argyll and Bute,2009-10,Male,Net,190
Argyll and Bute,2009-10,Male,Out,1710
Argyll and Bute,2009-10,Persons,In,3950
Argyll and Bute,2009-10,Persons,Net,290
Argyll and Bute,2009-10,Persons,Out,3660
Argyll and Bute,2010-11,Female,In,1980
Argyll and Bute,2010-11,Female,Net,190
Argyll and Bute,2010-11,Female,Out,1790
Argyll and Bute,2010-11,Male,In,1750
Argyll and Bute,2010-11,Male,Net,110
Argyll and Bute,2010-11,Male,Out,1640
Argyll and Bute,2010-11,Persons,In,3740
Argyll and Bute,2010-11,Persons,Net,300
Argyll and Bute,2010-11,Persons,Out,3430
Argyll and Bute,2011-12,Female,In,1980
Argyll and Bute,2011-12,Female,Net,-160
Argyll and Bute,2011-12,Female,Out,2150
Argyll and Bute,2011-12,Male,In,1840
Argyll and Bute,2011-12,Male,Net,-70
Argyll and Bute,2011-12,Male,Out,1910
Argyll and Bute,2011-12,Persons,In,3820
Argyll and Bute,2011-12,Persons,Net,-230
Argyll and Bute,2011-12,Persons,Out,4050
Argyll and Bute,2012-13,Female,In,2060
Argyll and Bute,2012-13,Female,Net,20
Argyll and Bute,2012-13,Female,Out,2040
Argyll and Bute,2012-13,Male,In,1870
Argyll and Bute,2012-13,Male,Net,-40
Argyll and Bute,2012-13,Male,Out,1920
Argyll and Bute,2012-13,Persons,In,3930
Argyll and Bute,2012-13,Persons,Net,-20
Argyll and Bute,2012-13,Persons,Out,3950
Argyll and Bute,2013-14,Female,In,1920
Argyll and Bute,2013-14,Female,Net,-210
Argyll and Bute,2013-14,Female,Out,2120
Argyll and Bute,2013-14,Male,In,1870
Argyll and Bute,2013-14,Male,Net,-70
Argyll and Bute,2013-14,Male,Out,1940
Argyll and Bute,2013-14,Persons,In,3790
Argyll and Bute,2013-14,Persons,Net,-280
Argyll and Bute,2013-14,Persons,Out,4060
Argyll and Bute,2014-15,Female,In,2020
Argyll and Bute,2014-15,Female,Net,-80
Argyll and Bute,2014-15,Female,Out,2100
Argyll and Bute,2014-15,Male,In,1890
Argyll and Bute,2014-15,Male,Net,-150
Argyll and Bute,2014-15,Male,Out,2040
Argyll and Bute,2014-15,Persons,In,3910
Argyll and Bute,2014-15,Persons,Net,-230
Argyll and Bute,2014-15,Persons,Out,4150
Argyll and Bute,2015-16,Female,In,2070
Argyll and Bute,2015-16,Female,Net,60
Argyll and Bute,2015-16,Female,Out,2020
Argyll and Bute,2015-16,Male,In,2040
Argyll and Bute,2015-16,Male,Net,180
Argyll and Bute,2015-16,Male,Out,1860
Argyll and Bute,2015-16,Persons,In,4110
Argyll and Bute,2015-16,Persons,Net,230
Argyll and Bute,2015-16,Persons,Out,3880
Argyll and Bute,2016-17,Female,In,2130
Argyll and Bute,2016-17,Female,Net,120
Argyll and Bute,2016-17,Female,Out,2010
Argyll and Bute,2016-17,Male,In,2050
Argyll and Bute,2016-17,Male,Net,20
Argyll and Bute,2016-17,Male,Out,2030
Argyll and Bute,2016-17,Persons,In,4180
Argyll and Bute,2016-17,Persons,Net,140
