Council area,Registration Year,Sex,Number,,,,
Fife,2012,All people,3832,,,,
Glasgow City,2012,All people,6499,,,,
Highland,2012,All people,2238,,,,
Inverclyde,2012,All people,956,,,,
Midlothian,2012,All people,823,,,,
Moray,2012,All people,995,,,,
Na h-Eileanan Siar,2012,All people,390,,,,
North Ayrshire,2012,All people,1538,,,,
North Lanarkshire,2012,All people,3369,,,,
Orkney Islands,2012,All people,216,,,,
Perth and Kinross,2012,All people,1629,,,,
Renfrewshire,2012,All people,1934,,,,
Scotland,2012,All people,54937,,,,
Scottish Borders,2012,All people,1282,,,,
Shetland Islands,2012,All people,203,,,,
South Ayrshire,2012,All people,1386,,,,
South Lanarkshire,2012,All people,3439,,,,
Stirling,2012,All people,879,,,,
West Dunbartonshire,2012,All people,1106,,,,
West Lothian,2012,All people,1466,,,,
Aberdeen City,2012,Female,1089,,,,
Aberdeenshire,2012,Female,1181,,,,
Angus,2012,Female,697,,,,
Argyll and Bute,2012,Female,583,,,,
City of Edinburgh,2012,Female,2297,,,,
Clackmannanshire,2012,Female,268,,,,
Dumfries and Galloway,2012,Female,947,,,,
Dundee City,2012,Female,884,,,,
East Ayrshire,2012,Female,672,,,,
East Dunbartonshire,2012,Female,505,,,,
East Lothian,2012,Female,557,,,,
East Renfrewshire,2012,Female,508,,,,
Falkirk,2012,Female,815,,,,
Fife,2012,Female,2003,,,,
Glasgow City,2012,Female,3387,,,,
Highland,2012,Female,1127,,,,
Inverclyde,2012,Female,503,,,,
Midlothian,2012,Female,422,,,,
Moray,2012,Female,520,,,,
Na h-Eileanan Siar,2012,Female,201,,,,
North Ayrshire,2012,Female,834,,,,
North Lanarkshire,2012,Female,1773,,,,
Orkney Islands,2012,Female,119,,,,
Perth and Kinross,2012,Female,846,,,,
Renfrewshire,2012,Female,1024,,,,
Scotland,2012,Female,28922,,,,
Scottish Borders,2012,Female,691,,,,
Shetland Islands,2012,Female,93,,,,
South Ayrshire,2012,Female,757,,,,
South Lanarkshire,2012,Female,1815,,,,
Stirling,2012,Female,447,,,,
West Dunbartonshire,2012,Female,605,,,,
West Lothian,2012,Female,752,,,,
Aberdeen City,2012,Male,989,,,,
Aberdeenshire,2012,Male,1054,,,,
Angus,2012,Male,611,,,,
Argyll and Bute,2012,Male,510,,,,
City of Edinburgh,2012,Male,1968,,,,
Clackmannanshire,2012,Male,238,,,,
Dumfries and Galloway,2012,Male,882,,,,
Dundee City,2012,Male,803,,,,
East Ayrshire,2012,Male,635,,,,
East Dunbartonshire,2012,Male,468,,,,
East Lothian,2012,Male,480,,,,
East Renfrewshire,2012,Male,355,,,,
Falkirk,2012,Male,761,,,,
Fife,2012,Male,1829,,,,
Glasgow City,2012,Male,3112,,,,
Highland,2012,Male,1111,,,,
Inverclyde,2012,Male,453,,,,
Midlothian,2012,Male,401,,,,
Moray,2012,Male,475,,,,
Na h-Eileanan Siar,2012,Male,189,,,,
North Ayrshire,2012,Male,704,,,,
North Lanarkshire,2012,Male,1596,,,,
Orkney Islands,2012,Male,97,,,,
Perth and Kinross,2012,Male,783,,,,
Renfrewshire,2012,Male,910,,,,
Scotland,2012,Male,26015,,,,
Scottish Borders,2012,Male,591,,,,
Shetland Islands,2012,Male,110,,,,
South Ayrshire,2012,Male,629,,,,
South Lanarkshire,2012,Male,1624,,,,
Stirling,2012,Male,432,,,,
West Dunbartonshire,2012,Male,501,,,,
West Lothian,2012,Male,714,,,,
Aberdeen City,2013,All people,2047,,,,
Aberdeenshire,2013,All people,2299,,,,
Angus,2013,All people,1324,,,,
Argyll and Bute,2013,All people,1001,,,,
City of Edinburgh,2013,All people,4254,,,,
Clackmannanshire,2013,All people,557,,,,
Dumfries and Galloway,2013,All people,1875,,,,
Dundee City,2013,All people,1551,,,,
East Ayrshire,2013,All people,1438,,,,
East Dunbartonshire,2013,All people,1010,,,,
East Lothian,2013,All people,1025,,,,
East Renfrewshire,2013,All people,885,,,,
Falkirk,2013,All people,1582,,,,
Fife,2013,All people,3845,,,,
Glasgow City,2013,All people,6305,,,,
Highland,2013,All people,2352,,,,
Inverclyde,2013,All people,965,,,,
Midlothian,2013,All people,818,,,,
Moray,2013,All people,939,,,,
Na h-Eileanan Siar,2013,All people,336,,,,
North Ayrshire,2013,All people,1596,,,,
North Lanarkshire,2013,All people,3448,,,,
Orkney Islands,2013,All people,242,,,,
Perth and Kinross,2013,All people,1603,,,,
Renfrewshire,2013,All people,1875,,,,
Scotland,2013,All people,54700,,,,
Scottish Borders,2013,All people,1222,,,,
Shetland Islands,2013,All people,203,,,,
South Ayrshire,2013,All people,1441,,,,
South Lanarkshire,2013,All people,3329,,,,
Stirling,2013,All people,860,,,,
West Dunbartonshire,2013,All people,1039,,,,
West Lothian,2013,All people,1434,,,,
Aberdeen City,2013,Female,1067,,,,
Aberdeenshire,2013,Female,1178,,,,
Angus,2013,Female,707,,,,
Argyll and Bute,2013,Female,548,,,,
City of Edinburgh,2013,Female,2243,,,,
Clackmannanshire,2013,Female,304,,,,
Dumfries and Galloway,2013,Female,979,,,,
Dundee City,2013,Female,826,,,,
East Ayrshire,2013,Female,765,,,,
East Dunbartonshire,2013,Female,551,,,,
East Lothian,2013,Female,531,,,,
East Renfrewshire,2013,Female,472,,,,
Falkirk,2013,Female,819,,,,
Fife,2013,Female,1976,,,,
Glasgow City,2013,Female,3253,,,,
Highland,2013,Female,1165,,,,
Inverclyde,2013,Female,468,,,,
Midlothian,2013,Female,410,,,,
Moray,2013,Female,487,,,,
Na h-Eileanan Siar,2013,Female,179,,,,
North Ayrshire,2013,Female,813,,,,
North Lanarkshire,2013,Female,1723,,,,
Orkney Islands,2013,Female,117,,,,
Perth and Kinross,2013,Female,859,,,,
Renfrewshire,2013,Female,950,,,,
Scotland,2013,Female,28375,,,,
Scottish Borders,2013,Female,616,,,,
Shetland Islands,2013,Female,102,,,,
South Ayrshire,2013,Female,775,,,,
South Lanarkshire,2013,Female,1759,,,,
Stirling,2013,Female,441,,,,
West Dunbartonshire,2013,Female,548,,,,
West Lothian,2013,Female,744,,,,
Aberdeen City,2013,Male,980,,,,
Aberdeenshire,2013,Male,1121,,,,
Angus,2013,Male,617,,,,
Argyll and Bute,2013,Male,453,,,,
City of Edinburgh,2013,Male,2011,,,,
Clackmannanshire,2013,Male,253,,,,
Dumfries and Galloway,2013,Male,896,,,,
Dundee City,2013,Male,725,,,,
East Ayrshire,2013,Male,673,,,,
East Dunbartonshire,2013,Male,459,,,,
East Lothian,2013,Male,494,,,,
East Renfrewshire,2013,Male,413,,,,
Falkirk,2013,Male,763,,,,
Fife,2013,Male,1869,,,,
Glasgow City,2013,Male,3052,,,,
Highland,2013,Male,1187,,,,
Inverclyde,2013,Male,497,,,,
Midlothian,2013,Male,408,,,,
Moray,2013,Male,452,,,,
Na h-Eileanan Siar,2013,Male,157,,,,
North Ayrshire,2013,Male,783,,,,
North Lanarkshire,2013,Male,1725,,,,
Orkney Islands,2013,Male,125,,,,
Perth and Kinross,2013,Male,744,,,,
Renfrewshire,2013,Male,925,,,,
Scotland,2013,Male,26325,,,,
Scottish Borders,2013,Male,606,,,,
Shetland Islands,2013,Male,101,,,,
South Ayrshire,2013,Male,666,,,,
South Lanarkshire,2013,Male,1570,,,,
Stirling,2013,Male,419,,,,
West Dunbartonshire,2013,Male,491,,,,
West Lothian,2013,Male,690,,,,
Aberdeen City,2014,All people,2187,,,,
Aberdeenshire,2014,All people,2295,,,,
Angus,2014,All people,1306,,,,
Argyll and Bute,2014,All people,1042,,,,
City of Edinburgh,2014,All people,4154,,,,
Clackmannanshire,2014,All people,488,,,,
Dumfries and Galloway,2014,All people,1883,,,,
Dundee City,2014,All people,1604,,,,
East Ayrshire,2014,All people,1388,,,,
East Dunbartonshire,2014,All people,1044,,,,
East Lothian,2014,All people,1020,,,,
East Renfrewshire,2014,All people,878,,,,
Falkirk,2014,All people,1519,,,,
Fife,2014,All people,3577,,,,
Glasgow City,2014,All people,6205,,,,
Highland,2014,All people,2325,,,,
Inverclyde,2014,All people,937,,,,
Midlothian,2014,All people,837,,,,
Moray,2014,All people,947,,,,
Na h-Eileanan Siar,2014,All people,346,,,,
North Ayrshire,2014,All people,1582,,,,
North Lanarkshire,2014,All people,3365,,,,
Orkney Islands,2014,All people,205,,,,
Perth and Kinross,2014,All people,1498,,,,
Renfrewshire,2014,All people,1909,,,,
Scotland,2014,All people,54239,,,,
Scottish Borders,2014,All people,1335,,,,
Shetland Islands,2014,All people,225,,,,
South Ayrshire,2014,All people,1404,,,,
South Lanarkshire,2014,All people,3323,,,,
Stirling,2014,All people,898,,,,
West Dunbartonshire,2014,All people,1043,,,,
West Lothian,2014,All people,1470,,,,
Aberdeen City,2014,Female,1119,,,,
Aberdeenshire,2014,Female,1157,,,,
Angus,2014,Female,687,,,,
Argyll and Bute,2014,Female,526,,,,
City of Edinburgh,2014,Female,2169,,,,
Clackmannanshire,2014,Female,250,,,,
Dumfries and Galloway,2014,Female,957,,,,
Dundee City,2014,Female,796,,,,
East Ayrshire,2014,Female,729,,,,
East Dunbartonshire,2014,Female,533,,,,
East Lothian,2014,Female,508,,,,
East Renfrewshire,2014,Female,474,,,,
Falkirk,2014,Female,802,,,,
Fife,2014,Female,1816,,,,
Glasgow City,2014,Female,3187,,,,
Highland,2014,Female,1151,,,,
Inverclyde,2014,Female,509,,,,
Midlothian,2014,Female,438,,,,
Moray,2014,Female,483,,,,
Na h-Eileanan Siar,2014,Female,160,,,,
North Ayrshire,2014,Female,801,,,,
North Lanarkshire,2014,Female,1730,,,,
Orkney Islands,2014,Female,96,,,,
Perth and Kinross,2014,Female,791,,,,
Renfrewshire,2014,Female,954,,,,
Scotland,2014,Female,27950,,,,
Scottish Borders,2014,Female,678,,,,
Shetland Islands,2014,Female,120,,,,
South Ayrshire,2014,Female,786,,,,
South Lanarkshire,2014,Female,1753,,,,
Stirling,2014,Female,478,,,,
West Dunbartonshire,2014,Female,538,,,,
West Lothian,2014,Female,774,,,,
Aberdeen City,2014,Male,1068,,,,
Aberdeenshire,2014,Male,1138,,,,
Angus,2014,Male,619,,,,
Argyll and Bute,2014,Male,516,,,,
City of Edinburgh,2014,Male,1985,,,,
Clackmannanshire,2014,Male,238,,,,
Dumfries and Galloway,2014,Male,926,,,,
Dundee City,2014,Male,808,,,,
East Ayrshire,2014,Male,659,,,,
East Dunbartonshire,2014,Male,511,,,,
East Lothian,2014,Male,512,,,,
East Renfrewshire,2014,Male,404,,,,
Falkirk,2014,Male,717,,,,
Fife,2014,Male,1761,,,,
Glasgow City,2014,Male,3018,,,,
Highland,2014,Male,1174,,,,
Inverclyde,2014,Male,428,,,,
Midlothian,2014,Male,399,,,,
Moray,2014,Male,464,,,,
Na h-Eileanan Siar,2014,Male,186,,,,
North Ayrshire,2014,Male,781,,,,
North Lanarkshire,2014,Male,1635,,,,
Orkney Islands,2014,Male,109,,,,
Perth and Kinross,2014,Male,707,,,,
Renfrewshire,2014,Male,955,,,,
Scotland,2014,Male,26289,,,,
Scottish Borders,2014,Male,657,,,,
Shetland Islands,2014,Male,105,,,,
South Ayrshire,2014,Male,618,,,,
South Lanarkshire,2014,Male,1570,,,,
Stirling,2014,Male,420,,,,
West Dunbartonshire,2014,Male,505,,,,
West Lothian,2014,Male,696,,,,
Aberdeen City,2015,All people,2187,,,,
Aberdeenshire,2015,All people,2458,,,,
Angus,2015,All people,1347,,,,
Argyll and Bute,2015,All people,1173,,,,
City of Edinburgh,2015,All people,4326,,,,
Clackmannanshire,2015,All people,546,,,,
Dumfries and Galloway,2015,All people,1912,,,,
Dundee City,2015,All people,1761,,,,
East Ayrshire,2015,All people,1406,,,,
East Dunbartonshire,2015,All people,1068,,,,
East Lothian,2015,All people,1073,,,,
East Renfrewshire,2015,All people,890,,,,
Falkirk,2015,All people,1622,,,,
Fife,2015,All people,4027,,,,
Glasgow City,2015,All people,6515,,,,
Highland,2015,All people,2565,,,,
Inverclyde,2015,All people,1031,,,,
Midlothian,2015,All people,896,,,,
Moray,2015,All people,1054,,,,
Na h-Eileanan Siar,2015,All people,350,,,,
North Ayrshire,2015,All people,1740,,,,
North Lanarkshire,2015,All people,3624,,,,
Orkney Islands,2015,All people,222,,,,
Perth and Kinross,2015,All people,1652,,,,
Renfrewshire,2015,All people,1995,,,,
Scotland,2015,All people,57579,,,,
Scottish Borders,2015,All people,1389,,,,
Shetland Islands,2015,All people,256,,,,
South Ayrshire,2015,All people,1498,,,,
South Lanarkshire,2015,All people,3497,,,,
Stirling,2015,All people,925,,,,
West Dunbartonshire,2015,All people,1095,,,,
West Lothian,2015,All people,1479,,,,
Aberdeen City,2015,Female,1110,,,,
Aberdeenshire,2015,Female,1254,,,,
Angus,2015,Female,688,,,,
Argyll and Bute,2015,Female,585,,,,
City of Edinburgh,2015,Female,2258,,,,
Clackmannanshire,2015,Female,271,,,,
Dumfries and Galloway,2015,Female,977,,,,
Dundee City,2015,Female,899,,,,
East Ayrshire,2015,Female,755,,,,
East Dunbartonshire,2015,Female,565,,,,
East Lothian,2015,Female,545,,,,
East Renfrewshire,2015,Female,463,,,,
Falkirk,2015,Female,821,,,,
Fife,2015,Female,2098,,,,
Glasgow City,2015,Female,3300,,,,
Highland,2015,Female,1272,,,,
Inverclyde,2015,Female,541,,,,
Midlothian,2015,Female,449,,,,
Moray,2015,Female,543,,,,
Na h-Eileanan Siar,2015,Female,169,,,,
North Ayrshire,2015,Female,905,,,,
North Lanarkshire,2015,Female,1859,,,,
Orkney Islands,2015,Female,113,,,,
Perth and Kinross,2015,Female,894,,,,
Renfrewshire,2015,Female,1048,,,,
Scotland,2015,Female,29674,,,,
Scottish Borders,2015,Female,696,,,,
Shetland Islands,2015,Female,113,,,,
South Ayrshire,2015,Female,759,,,,
South Lanarkshire,2015,Female,1896,,,,
Stirling,2015,Female,482,,,,
West Dunbartonshire,2015,Female,596,,,,
West Lothian,2015,Female,750,,,,
Aberdeen City,2015,Male,1077,,,,
Aberdeenshire,2015,Male,1204,,,,
Angus,2015,Male,659,,,,
Argyll and Bute,2015,Male,588,,,,
City of Edinburgh,2015,Male,2068,,,,
Clackmannanshire,2015,Male,275,,,,
Dumfries and Galloway,2015,Male,935,,,,
Dundee City,2015,Male,862,,,,
East Ayrshire,2015,Male,651,,,,
East Dunbartonshire,2015,Male,503,,,,
East Lothian,2015,Male,528,,,,
East Renfrewshire,2015,Male,427,,,,
Falkirk,2015,Male,801,,,,
Fife,2015,Male,1929,,,,
Glasgow City,2015,Male,3215,,,,
Highland,2015,Male,1293,,,,
Inverclyde,2015,Male,490,,,,
Midlothian,2015,Male,447,,,,
Moray,2015,Male,511,,,,
Na h-Eileanan Siar,2015,Male,181,,,,
North Ayrshire,2015,Male,835,,,,
North Lanarkshire,2015,Male,1765,,,,
Orkney Islands,2015,Male,109,,,,
Perth and Kinross,2015,Male,758,,,,
Renfrewshire,2015,Male,947,,,,
Scotland,2015,Male,27905,,,,
Scottish Borders,2015,Male,693,,,,
Shetland Islands,2015,Male,143,,,,
South Ayrshire,2015,Male,739,,,,
South Lanarkshire,2015,Male,1601,,,,
Stirling,2015,Male,443,,,,
West Dunbartonshire,2015,Male,499,,,,
West Lothian,2015,Male,729,,,,
Aberdeen City,2016,All people,2129,,,,
Aberdeenshire,2016,All people,2360,,,,
Angus,2016,All people,1433,,,,
Argyll and Bute,2016,All people,1110,,,,
City of Edinburgh,2016,All people,4361,,,,
Clackmannanshire,2016,All people,546,,,,
Dumfries and Galloway,2016,All people,1858,,,,
Dundee City,2016,All people,1691,,,,
East Ayrshire,2016,All people,1453,,,,
East Dunbartonshire,2016,All people,1114,,,,
East Lothian,2016,All people,1001,,,,
East Renfrewshire,2016,All people,883,,,,
Falkirk,2016,All people,1734,,,,
Fife,2016,All people,4091,,,,
Glasgow City,2016,All people,6321,,,,
Highland,2016,All people,2397,,,,
Inverclyde,2016,All people,1006,,,,
Midlothian,2016,All people,848,,,,
Moray,2016,All people,979,,,,
Na h-Eileanan Siar,2016,All people,359,,,,
North Ayrshire,2016,All people,1593,,,,
North Lanarkshire,2016,All people,3568,,,,
Orkney Islands,2016,All people,223,,,,
Perth and Kinross,2016,All people,1617,,,,
Renfrewshire,2016,All people,2070,,,,
Scotland,2016,All people,56728,,,,
Scottish Borders,2016,All people,1277,,,,
Shetland Islands,2016,All people,232,,,,
South Ayrshire,2016,All people,1445,,,,
South Lanarkshire,2016,All people,3529,,,,
Stirling,2016,All people,899,,,,
West Dunbartonshire,2016,All people,1050,,,,
West Lothian,2016,All people,1551,,,,
Aberdeen City,2016,Female,1105,,,,
Aberdeenshire,2016,Female,1190,,,,
Angus,2016,Female,740,,,,
Argyll and Bute,2016,Female,550,,,,
City of Edinburgh,2016,Female,2269,,,,
Clackmannanshire,2016,Female,283,,,,
Dumfries and Galloway,2016,Female,887,,,,
Dundee City,2016,Female,869,,,,
East Ayrshire,2016,Female,744,,,,
East Dunbartonshire,2016,Female,600,,,,
East Lothian,2016,Female,525,,,,
East Renfrewshire,2016,Female,486,,,,
Falkirk,2016,Female,890,,,,
Fife,2016,Female,2124,,,,
Glasgow City,2016,Female,3179,,,,
Highland,2016,Female,1137,,,,
Inverclyde,2016,Female,515,,,,
Midlothian,2016,Female,423,,,,
Moray,2016,Female,485,,,,
Na h-Eileanan Siar,2016,Female,176,,,,
North Ayrshire,2016,Female,793,,,,
North Lanarkshire,2016,Female,1777,,,,
Orkney Islands,2016,Female,123,,,,
Perth and Kinross,2016,Female,867,,,,
Renfrewshire,2016,Female,1055,,,,
Scotland,2016,Female,28968,,,,
Scottish Borders,2016,Female,642,,,,
Shetland Islands,2016,Female,110,,,,
South Ayrshire,2016,Female,762,,,,
South Lanarkshire,2016,Female,1832,,,,
Stirling,2016,Female,463,,,,
West Dunbartonshire,2016,Female,557,,,,
West Lothian,2016,Female,810,,,,
Aberdeen City,2016,Male,1024,,,,
Aberdeenshire,2016,Male,1170,,,,
Angus,2016,Male,693,,,,
Argyll and Bute,2016,Male,560,,,,
City of Edinburgh,2016,Male,2092,,,,
Clackmannanshire,2016,Male,263,,,,
Dumfries and Galloway,2016,Male,971,,,,
Dundee City,2016,Male,822,,,,
East Ayrshire,2016,Male,709,,,,
East Dunbartonshire,2016,Male,514,,,,
East Lothian,2016,Male,476,,,,
East Renfrewshire,2016,Male,397,,,,
Falkirk,2016,Male,844,,,,
Fife,2016,Male,1967,,,,
Glasgow City,2016,Male,3142,,,,
Highland,2016,Male,1260,,,,
Inverclyde,2016,Male,491,,,,
Midlothian,2016,Male,425,,,,
Moray,2016,Male,494,,,,
Na h-Eileanan Siar,2016,Male,183,,,,
North Ayrshire,2016,Male,800,,,,
North Lanarkshire,2016,Male,1791,,,,
Orkney Islands,2016,Male,100,,,,
Perth and Kinross,2016,Male,750,,,,
Renfrewshire,2016,Male,1015,,,,
Scotland,2016,Male,27760,,,,
Scottish Borders,2016,Male,635,,,,
Shetland Islands,2016,Male,122,,,,
South Ayrshire,2016,Male,683,,,,
South Lanarkshire,2016,Male,1697,,,,
Stirling,2016,Male,436,,,,
West Dunbartonshire,2016,Male,493,,,,
West Lothian,2016,Male,741,,,,
Aberdeen City,2017,All people,"2,130",,,,
Aberdeenshire,2017,All people,"2,470",,,,
Angus,2017,All people,"1,405",,,,
Argyll and Bute,2017,All people,"1,072",,,,
City of Edinburgh,2017,All people,"4,290",,,,
Clackmannanshire,2017,All people,556,,,,
Dumfries and Galloway,2017,All people,"1,986",,,,
Dundee City,2017,All people,"1,783",,,,
East Ayrshire,2017,All people,"1,436",,,,
East Dunbartonshire,2017,All people,"1,157",,,,
East Lothian,2017,All people,"1,141",,,,
East Renfrewshire,2017,All people,933,,,,
Falkirk,2017,All people,"1,644",,,,
Fife,2017,All people,"4,189",,,,
Glasgow City,2017,All people,"6,485",,,,
Highland,2017,All people,"2,576",,,,
Inverclyde,2017,All people,"1,104",,,,
Midlothian,2017,All people,885,,,,
Moray,2017,All people,"1,009",,,,
Na h-Eileanan Siar,2017,All people,347,,,,
North Ayrshire,2017,All people,"1,672",,,,
North Lanarkshire,2017,All people,"3,664",,,,
Orkney Islands,2017,All people,276,,,,
Perth and Kinross,2017,All people,"1,692",,,,
Renfrewshire,2017,All people,"2,043",,,,
Scotland,2017,All people,"57,883",,,,
Scottish Borders,2017,All people,"1,298",,,,
Shetland Islands,2017,All people,207,,,,
South Ayrshire,2017,All people,"1,436",,,,
South Lanarkshire,2017,All people,"3,523",,,,
Stirling,2017,All people,815,,,,
West Dunbartonshire,2017,All people,"1,031",,,,
West Lothian,2017,All people,"1,628",,,,
Aberdeen City,2017,Female,"1,102",,,,
Aberdeenshire,2017,Female,"1,201",,,,
Angus,2017,Female,734,,,,
Argyll and Bute,2017,Female,529,,,,
City of Edinburgh,2017,Female,"2,203",,,,
Clackmannanshire,2017,Female,302,,,,
Dumfries and Galloway,2017,Female,"1,018",,,,
Dundee City,2017,Female,877,,,,
East Ayrshire,2017,Female,717,,,,
East Dunbartonshire,2017,Female,609,,,,
East Lothian,2017,Female,584,,,,
East Renfrewshire,2017,Female,536,,,,
Falkirk,2017,Female,867,,,,
Fife,2017,Female,"2,089",,,,
Glasgow City,2017,Female,"3,298",,,,
Highland,2017,Female,"1,302",,,,
Inverclyde,2017,Female,571,,,,
Midlothian,2017,Female,455,,,,
Moray,2017,Female,531,,,,
Na h-Eileanan Siar,2017,Female,177,,,,
North Ayrshire,2017,Female,878,,,,
North Lanarkshire,2017,Female,"1,884",,,,
Orkney Islands,2017,Female,144,,,,
Perth and Kinross,2017,Female,861,,,,
Renfrewshire,2017,Female,"1,013",,,,
Scotland,2017,Female,"29,633",,,,
Scottish Borders,2017,Female,681,,,,
Shetland Islands,2017,Female,109,,,,
South Ayrshire,2017,Female,754,,,,
South Lanarkshire,2017,Female,"1,830",,,,
Stirling,2017,Female,420,,,,
West Dunbartonshire,2017,Female,540,,,,
West Lothian,2017,Female,817,,,,
Aberdeen City,2017,Male,"1,028",,,,
Aberdeenshire,2017,Male,"1,269",,,,
Angus,2017,Male,671,,,,
Argyll and Bute,2017,Male,543,,,,
City of Edinburgh,2017,Male,"2,087",,,,
Clackmannanshire,2017,Male,254,,,,
Dumfries and Galloway,2017,Male,968,,,,
Dundee City,2017,Male,906,,,,
East Ayrshire,2017,Male,719,,,,
East Dunbartonshire,2017,Male,548,,,,
East Lothian,2017,Male,557,,,,
East Renfrewshire,2017,Male,397,,,,
Falkirk,2017,Male,777,,,,
Fife,2017,Male,"2,100",,,,
Glasgow City,2017,Male,"3,187",,,,
Highland,2017,Male,"1,274",,,,
Inverclyde,2017,Male,533,,,,
Midlothian,2017,Male,430,,,,
Moray,2017,Male,478,,,,
Na h-Eileanan Siar,2017,Male,170,,,,
North Ayrshire,2017,Male,794,,,,
North Lanarkshire,2017,Male,"1,780",,,,
Orkney Islands,2017,Male,132,,,,
Perth and Kinross,2017,Male,831,,,,
Renfrewshire,2017,Male,"1,030",,,,
Scotland,2017,Male,"28,250",,,,
Scottish Borders,2017,Male,617,,,,
Shetland Islands,2017,Male,98,,,,
South Ayrshire,2017,Male,682,,,,
South Lanarkshire,2017,Male,"1,693",,,,
Stirling,2017,Male,395,,,,
West Dunbartonshire,2017,Male,491,,,,
West Lothian,2017,Male,811,,,,
Aberdeen City,2018,All people,"2,170",,,,
Aberdeenshire,2018,All people,"2,462",,,,
Angus,2018,All people,"1,367",,,,
Argyll and Bute,2018,All people,"1,121",,,,
City of Edinburgh,2018,All people,"4,467",,,,
Clackmannanshire,2018,All people,526,,,,
Dumfries and Galloway,2018,All people,"1,950",,,,
Dundee City,2018,All people,"1,721",,,,
East Ayrshire,2018,All people,"1,504",,,,
East Dunbartonshire,2018,All people,"1,066",,,,
East Lothian,2018,All people,"1,065",,,,
East Renfrewshire,2018,All people,909,,,,
Falkirk,2018,All people,"1,761",,,,
Fife,2018,All people,"4,028",,,,
Glasgow City,2018,All people,"6,413",,,,
Highland,2018,All people,"2,666",,,,
Inverclyde,2018,All people,"1,074",,,,
Midlothian,2018,All people,884,,,,
Moray,2018,All people,"1,078",,,,
Na h-Eileanan Siar,2018,All people,356,,,,
North Ayrshire,2018,All people,"1,735",,,,
North Lanarkshire,2018,All people,"3,644",,,,
Orkney Islands,2018,All people,226,,,,
Perth and Kinross,2018,All people,"1,701",,,,
Renfrewshire,2018,All people,"2,015",,,,
Scotland,2018,All people,"58,503",,,,
Scottish Borders,2018,All people,"1,472",,,,
Shetland Islands,2018,All people,217,,,,
South Ayrshire,2018,All people,"1,514",,,,
South Lanarkshire,2018,All people,"3,603",,,,
Stirling,2018,All people,946,,,,
West Dunbartonshire,2018,All people,"1,170",,,,
West Lothian,2018,All people,"1,672",,,,
Aberdeen City,2018,Female,"1,063",,,,
Aberdeenshire,2018,Female,"1,187",,,,
Angus,2018,Female,719,,,,
Argyll and Bute,2018,Female,614,,,,
City of Edinburgh,2018,Female,"2,340",,,,
Clackmannanshire,2018,Female,256,,,,
Dumfries and Galloway,2018,Female,"1,012",,,,
Dundee City,2018,Female,887,,,,
East Ayrshire,2018,Female,760,,,,
East Dunbartonshire,2018,Female,534,,,,
East Lothian,2018,Female,556,,,,
East Renfrewshire,2018,Female,472,,,,
Falkirk,2018,Female,908,,,,
Fife,2018,Female,"2,037",,,,
Glasgow City,2018,Female,"3,250",,,,
Highland,2018,Female,"1,341",,,,
Inverclyde,2018,Female,567,,,,
Midlothian,2018,Female,439,,,,
Moray,2018,Female,574,,,,
Na h-Eileanan Siar,2018,Female,177,,,,
North Ayrshire,2018,Female,912,,,,
North Lanarkshire,2018,Female,"1,847",,,,
Orkney Islands,2018,Female,100,,,,
Perth and Kinross,2018,Female,888,,,,
Renfrewshire,2018,Female,"1,010",,,,
Scotland,2018,Female,"29,861",,,,
Scottish Borders,2018,Female,745,,,,
Shetland Islands,2018,Female,110,,,,
South Ayrshire,2018,Female,746,,,,
South Lanarkshire,2018,Female,"1,908",,,,
Stirling,2018,Female,454,,,,
West Dunbartonshire,2018,Female,610,,,,
West Lothian,2018,Female,838,,,,
Aberdeen City,2018,Male,"1,107",,,,
Aberdeenshire,2018,Male,"1,275",,,,
Angus,2018,Male,648,,,,
Argyll and Bute,2018,Male,507,,,,
City of Edinburgh,2018,Male,"2,127",,,,
Clackmannanshire,2018,Male,270,,,,
Dumfries and Galloway,2018,Male,938,,,,
Dundee City,2018,Male,834,,,,
East Ayrshire,2018,Male,744,,,,
East Dunbartonshire,2018,Male,532,,,,
East Lothian,2018,Male,509,,,,
East Renfrewshire,2018,Male,437,,,,
Falkirk,2018,Male,853,,,,
Fife,2018,Male,"1,991",,,,
Glasgow City,2018,Male,"3,163",,,,
Highland,2018,Male,"1,325",,,,
Inverclyde,2018,Male,507,,,,
Midlothian,2018,Male,445,,,,
Moray,2018,Male,504,,,,
Na h-Eileanan Siar,2018,Male,179,,,,
North Ayrshire,2018,Male,823,,,,
North Lanarkshire,2018,Male,"1,797",,,,
Orkney Islands,2018,Male,126,,,,
Perth and Kinross,2018,Male,813,,,,
Renfrewshire,2018,Male,"1,005",,,,
Scotland,2018,Male,"28,642",,,,
Scottish Borders,2018,Male,727,,,,
Shetland Islands,2018,Male,107,,,,
South Ayrshire,2018,Male,768,,,,
South Lanarkshire,2018,Male,"1,695",,,,
Stirling,2018,Male,492,,,,
West Dunbartonshire,2018,Male,560,,,,
West Lothian,2018,Male,834,,,,
Aberdeen City,2019,All people,"2,161",,,,
Aberdeenshire,2019,All people,2534,,,,
Angus,2019,All people,1410,,,,
Argyll and Bute,2019,All people,1094,,,,
City of Edinburgh,2019,All people,4266,,,,
Clackmannanshire,2019,All people,607,,,,
Dumfries and Galloway,2019,All people,1932,,,,
Dundee City,2019,All people,1688,,,,
