Council area,Year,Sex,Age group,Number
Aberdeen City,2008-09,Male,5 to 9,-8
Aberdeen City,2008-09,Male,50 to 54,11
Aberdeen City,2008-09,Male,55 to 59,-30
Aberdeen City,2008-09,Male,60 to 64,-36
Aberdeen City,2008-09,Male,65 to 69,-26
Aberdeen City,2008-09,Male,70 to 74,-8
Aberdeen City,2008-09,Male,75 to 79,-11
Aberdeen City,2008-09,Male,80 to 84,-12
Aberdeen City,2008-09,Male,85 to 89,-3
Aberdeen City,2008-09,Male,90 and over,-4
Aberdeen City,2008-09,Male,All ages,1562
Aberdeen City,2009-10,Female,0 to 4,17
Aberdeen City,2009-10,Female,10 to 14,24
Aberdeen City,2009-10,Female,15 to 19,849
Aberdeen City,2009-10,Female,20 to 24,683
Aberdeen City,2009-10,Female,25 to 29,50
Aberdeen City,2009-10,Female,30 to 34,-53
Aberdeen City,2009-10,Female,35 to 39,-48
Aberdeen City,2009-10,Female,40 to 44,20
Aberdeen City,2009-10,Female,45 to 49,-26
Aberdeen City,2009-10,Female,5 to 9,17
Aberdeen City,2009-10,Female,50 to 54,-15
Aberdeen City,2009-10,Female,55 to 59,-38
Aberdeen City,2009-10,Female,60 to 64,-11
Aberdeen City,2009-10,Female,65 to 69,-19
Aberdeen City,2009-10,Female,70 to 74,-7
Aberdeen City,2009-10,Female,75 to 79,-14
Aberdeen City,2009-10,Female,80 to 84,-9
Aberdeen City,2009-10,Female,85 to 89,-12
Aberdeen City,2009-10,Female,90 and over,-10
Aberdeen City,2009-10,Female,All ages,1398
Aberdeen City,2009-10,Male,0 to 4,1
Aberdeen City,2009-10,Male,10 to 14,47
Aberdeen City,2009-10,Male,15 to 19,421
Aberdeen City,2009-10,Male,20 to 24,769
Aberdeen City,2009-10,Male,25 to 29,310
Aberdeen City,2009-10,Male,30 to 34,-60
Aberdeen City,2009-10,Male,35 to 39,-71
Aberdeen City,2009-10,Male,40 to 44,14
Aberdeen City,2009-10,Male,45 to 49,9
Aberdeen City,2009-10,Male,5 to 9,40
Aberdeen City,2009-10,Male,50 to 54,6
Aberdeen City,2009-10,Male,55 to 59,-32
Aberdeen City,2009-10,Male,60 to 64,-52
Aberdeen City,2009-10,Male,65 to 69,-31
Aberdeen City,2009-10,Male,70 to 74,-9
Aberdeen City,2009-10,Male,75 to 79,4
Aberdeen City,2009-10,Male,80 to 84,-2
Aberdeen City,2009-10,Male,85 to 89,-9
Aberdeen City,2009-10,Male,90 and over,1
Aberdeen City,2009-10,Male,All ages,1356
Aberdeen City,2010-11,Female,0 to 4,71
Aberdeen City,2010-11,Female,10 to 14,4
Aberdeen City,2010-11,Female,15 to 19,1059
Aberdeen City,2010-11,Female,20 to 24,508
Aberdeen City,2010-11,Female,25 to 29,56
Aberdeen City,2010-11,Female,30 to 34,-46
Aberdeen City,2010-11,Female,35 to 39,-9
Aberdeen City,2010-11,Female,40 to 44,22
Aberdeen City,2010-11,Female,45 to 49,-21
Aberdeen City,2010-11,Female,5 to 9,27
Aberdeen City,2010-11,Female,50 to 54,-16
Aberdeen City,2010-11,Female,55 to 59,-10
Aberdeen City,2010-11,Female,60 to 64,-44
Aberdeen City,2010-11,Female,65 to 69,-17
Aberdeen City,2010-11,Female,70 to 74,6
Aberdeen City,2010-11,Female,75 to 79,-7
Aberdeen City,2010-11,Female,80 to 84,4
Aberdeen City,2010-11,Female,85 to 89,-3
Aberdeen City,2010-11,Female,90 and over,-17
Aberdeen City,2010-11,Female,All ages,1567
